applicant_id,start_date,education,prior_years,readiness,persist_days
A0506,2025-09-18,전문학사,0.2,0.57,45.0
A0507,2025-08-27,학사,5.7,0.573,104.0
A0508,2025-09-12,석사,1.7,0.672,241.0
A0509,2025-02-05,,0.2,0.427,61.0
A0510,2025-04-17,학사,2.2,0.545,136.0
A0511,2025-08-29,석사,1.6,0.458,81.0
A0512,2025-06-05,학사,5.3,0.458,45.0
A0513,2025-06-15,학사,1.0,0.598,98.0
A0514,2025-04-07,학사,3.8,0.331,76.0
A0515,2025-05-30,전문학사,3.0,0.648,96.0
A0516,2025-11-27,학사,2.9,0.263,75.0
A0517,2025-03-13,석사,4.4,0.437,81.0
A0518,2025-03-30,석사,0.5,0.738,75.0
A0519,2025-08-02,학사,2.0,0.668,36.0
A0520,2025-05-29,석사,1.2,0.504,106.0
